,ID,Address,Longitude,Latitude
83,Space Invader PA_0102 & PA_0564, 42 boulevard de l'HÃƒÂ´pital,2.361975,48.839907
84,Space Invader PA_0103," 30 rue du Temple, dans la cour",2.354045,48.859253
85,Space Invader PA_0104, sud de la place de la Porte de Montreuil,2.414337,48.853403
86,Space Invader PA_0105, ÃƒÂ  droite du lion de la statue,2.3638,48.86744
87,Space Invader PA_0106, 2 rue Charlemagne,2.361889,48.853901
88,Space Invader PA_0107," pont d'IÃƒÂ©na, rive gauche nord",2.292935,48.859382
89,Space Invader PA_0108, tunnel de l'avenue de New York,2.29058,48.859936
90,Space Invader PA_0109," 587 & 1081, tuyaux d'ÃƒÂ©vacuation du Centre Pompidou",2.352534,48.859764
91,Space Invader PA_0110, 91 rue Quincampoix,2.35125,48.86263
92,Space Invader PA_0111, 20 rue Hermel,2.344664,48.891598
93,Space Invader PA_0112, 19 rue Gassendi,2.326943,48.835
94,Space Invader PA_0113, 46 rue du Cardinal Lemoine,2.351423,48.846596
95,Space Invader PA_0114 & PA_1023, 26 rue Vieille du Temple,2.357275,48.857153
96,Space Invader PA_0115, impasse des ArbalÃƒÂ©triers,2.359639,48.858572
97,Space Invader PA_0116, 45 passage ThiÃƒÂ©rÃƒÂ©,2.372764,48.854719
98,Space Invader PA_0117, 31 passage ThiÃƒÂ©rÃƒÂ© sur le trottoir,2.373113,48.854414
99,Space Invader PA_0118, 1 rue Raymond Ayron,2.375347,48.835576
100,Space Invader PA_0119 & PA_0824, 102 rue de Bagnolet,2.402789,48.859426
101,Space Invader PA_0120, 44 quai de Jemmapes,2.367228,48.869474
102,Space Invader PA_0121, 7 rue des Saints-PÃƒÂ¨res,2.332797,48.857629
103,Space Invader PA_0122," rue de la Clef, sous le lierre",2.353132,48.840487
104,Space Invader PA_0124, 40 rue de l'Arcade,2.324385,48.873356
105,Space Invader PA_0125, sud de la Fontaine aux Lions,2.39581,48.83954
106,Space Invader PA_0126, pont d'IÃƒÂ©na (rive gauche),2.292681,48.859222
107,Space Invader PA_0128, 1 rue de Charonne,2.37376,48.852
108,Space Invader PA_0131, 53 rue des Orteaux,2.403152,48.856488
109,Space Invader PA_0132, 97 rue des MaraÃƒÂ®chers,2.405541,48.856255
110,Space Invader PA_0133, 7 passage de la Main d'Or,2.3779,48.851674
111,Space Invader PA_0135, entrÃƒÂ©e sud du Carrousel,2.333511,48.860367
112,Space Invader PA_0143, place du ChÃƒÂ¢telet,2.347233,48.857374
113,Space Invader PA_0144, face au 49 rue Saint-Merri,2.35078,48.86014
114,Space Invader PA_0145, 9 rue Saint-Merri,2.353009,48.8593
115,Space Invader PA_0146, 2 rue VÃƒÂ©ronÃƒÂ¨se,2.355438,48.834234
116,Space Invader PA_0147, gare d'Austerlitz,2.365852,48.842848
117,Space Invader PA_0148, sur le pont d'Arcole,2.35063,48.85593
118,Space Invader PA_0149, 1 rue de Turenne,2.362911,48.854717
119,Space Invader PA_0150, angle de la Sorbonne,2.34358,48.84745
120,Space Invader PA_0151, 28 rue Lhomond,2.346784,48.843051
121,Space Invader PA_0152, place de la Concorde,2.323337,48.86619
122,Space Invader PA_0154, mÃƒÂ©tro de Bel-Air,2.400953,48.841734
123,Space Invader PA_0155, 16 rue des Trois Portes,2.348257,48.851375
124,Space Invader PA_0156, 2 rue Simon le Franc,2.354299,48.85991
125,Space Invader PA_0157, 10 rue Clovis,2.348976,48.846242
126,Space Invader PA_0158, 7 rue Debelleyme.,2.363722,48.8607
127,Space Invader PA_0159, 69 rue d'Hauteville,2.351035,48.876025
128,Space Invader PA_0160, 16 rue AndrÃƒÂ© Barsacq,2.340677,48.885374
129,Space Invader PA_0161, 17 rue Yvonne Le Tac,2.339665,48.884163
130,Space Invader PA_0162, 8 quai de la Seine,2.370559,48.884617
131,Space Invader PA_0163, 133 rue Saint-Jacques,2.34355,48.84691
132,Space Invader PA_0165, 5 rue Cortot,2.340567,48.887647
133,Space Invader PA_0166, face au 21 rue Georges Auric,2.38531,48.885298
134,Space Invader PA_0167 & PA_0168, 37 rue Richelieu,2.336674,48.865523
135,Space Invader PA_0169, 2 rue du Mont Cenis,2.341469,48.886355
136,Space Invader PA_0172, 21 rue Carpeaux,2.3318,48.89119
137,Space Invader PA_0175, 18 passage du Chantier,2.373552,48.851599
138,Space Invader PA_0176, 12 rue Cassette,2.33077,48.849961
139,Space Invader PA_0177, 12 rue du 29 Juillet,2.33081,48.865373
140,Space Invader PA_0178, 165 rue du Faubourg Saint-HonorÃƒÂ©,2.305926,48.874702
141,Space Invader PA_0179, entrÃƒÂ©e du tunnel de Champigny,2.50721,48.82725
142,Space Invader PA_0180, 14 rue Madame,2.331925,48.851063
143,Space Invader PA_0181, 20-24 rue Madame,2.331768,48.850645
144,Space Invader PA_0182, 18 rue Madame,2.331918,48.850962
145,Space Invader PA_0183, 19 rue de MÃƒÂ©ziÃƒÂ¨res,2.331885,48.85035
146,Space Invader PA_0184, 2 rue Mignon,2.341737,48.852326
147,Space Invader PA_0185, 8 rue Scribe,2.33117,48.872642
148,Space Invader PA_0187, fontaine Jussieu,2.354711,48.846366
149,Space Invader PA_0188, 39 rue des Francs-Bourgeois,2.36018,48.85788
150,Space Invader PA_0189, 3 rue Geoffroy Langevin,2.354532,48.860515
151,Space Invader PA_0190, 1 rue Stendhal,2.403704,48.860208
152,Space Invader PA_0191, 21 chemin du Parc de Charonne,2.402905,48.86068
153,Space Invader PA_0192 & PA_0785, face au 130 rue de Bagnolet,2.404965,48.860974
154,Space Invader PA_0193, 29 rue de RÃƒÂ©aumur,2.356472,48.865294
155,Space Invader PA_0194, 61 rue du Chemin Vert,2.377448,48.859993
156,Space Invader PA_0195, avenue de la porte Clignancourt,2.344819,48.900821
157,Space Invader PA_0196, place de la Bataille de Stalingrad,2.368895,48.883703
158,Space Invader PA_0197, cimetiÃƒÂ¨re de Montmartre,2.33238,48.886559
159,Space Invader PA_0198, 27 rue Sainte-Marthe,2.372611,48.874305
160,Space Invader PA_0200, face au 194 rue de Bercy,2.37238,48.844506
161,Space Invader PA_0201, 19 rue Georges Lardennois,2.37682,48.87801
162,Space Invader PA_0204, place de la porte de Pantin,2.395975,48.889956
163,Space Invader PA_0205, parvis de Saint-Vincent-de-Paul,2.35168,48.878073
164,Space Invader PA_0206, place de Clichy,2.327428,48.883508
165,Space Invader PA_0207, 7 rue DamrÃƒÂ©mont,2.332576,48.887721
166,Space Invader PA_0208, mÃƒÂ©tro Raspail,2.331491,48.837428
167,Space Invader PA_0209, sur la coque du Batofar,2.379387,48.833351
168,Space Invader PA_0210, 6 rue Marx Dormoy,2.359571,48.885295
169,Space Invader PA_0211, 30 rue du Faubourg Saint-Antoine,2.371607,48.852441
170,Space Invader PA_0212, 123 boulevard de Charonne,2.39305,48.85705
171,Space Invader PA_0213, 84 rue Mouffetard,2.349683,48.842099
172,Space Invader PA_0215 & PA_1056, 0 rue Montgallet,2.386157,48.842592
173,Space Invader PA_0216, 67 rue de l'Amiral Mouchez,2.342467,48.821572
174,Space Invader PA_0218, Tunnel Van-Gogh,2.37204,48.84423
175,Space Invader PA_0219, face au 8 rue AndrÃƒÂ© Voguet,2.37367,48.81957
176,Space Invader PA_0220, mÃƒÂ©tro Quai de la Gare,2.373523,48.837396
177,Space Invader PA_0221, 91 rue Rebeval,2.382938,48.873796
178,Space Invader PA_0222, 94 rue du Faubourg du Temple,2.374427,48.871109
179,Space Invader PA_0223, 20 rue Abel,2.376069,48.848217
180,Space Invader PA_0224, sur les panneaux d'information du pÃƒÂ©riph',2.373607,48.819874
181,Space Invader PA_0225, sur le pont du periph' porte d'Ivry,2.373015,48.819453
182,Space Invader PA_0226, 83 rue d'Hauteville,2.351173,48.876749
183,Space Invader PA_0228, pont de la rue de l'Ourcq,2.38295,48.88991
184,Space Invader PA_0229, rue Antoine Dubois,2.339681,48.851027
185,Space Invader PA_0231, 1 rue Tiquetonne,2.349905,48.864322
186,Space Invader PA_0232, 11 rue FranÃƒÂ§aise,2.347672,48.864543
187,Space Invader PA_0233, 1 rue des CÃƒÂ©vennes,2.276331,48.844456
188,Space Invader PA_0236, 16 rue Magellan,2.29964,48.87095
189,Space Invader PA_0237, 156 avenue des Champs Ãƒâ€°lysÃƒÂ©es,2.297074,48.873433
190,Space Invader PA_0238, 8 rue FranÃƒÂ§ois 1er,2.307521,48.866054
