ID;Address;Longitude;Latitude
CLR_0013;Unknown;3.0919554;45.773357
CLR_0014;Unknown;3.0987082;45.7889076
CLR_0015;Unknown;3.0839041;45.7692305
CLR_0016;Unknown;3.1131671;45.7909114
CLR_0017;Unknown;3.0955772;45.7750101
CLR_0018;Unknown;3.089343;45.7771837
CLR_0019;Unknown;3.0866354;45.7743815
CLR_0020;Unknown;3.0755743;45.7739084
CLR_0021;Unknown;3.0750348;45.7734899
CLR_0022;Unknown;3.0900358;45.7785517
CLR_0023;Unknown;3.0900159;45.7777613
CLR_0024;Unknown;3.0842009;45.7787126
CLR_0025;Unknown;3.0820117;45.7787158
CLR_0026;Unknown;3.0808912;45.7785849
CLR_0027;Unknown;3.0447276;45.9117634
CLR_0028;Unknown;3.091666;45.779757
CLR_0029;Unknown;3.082031;45.7803853
CLR_0030;Unknown;3.0794785;45.7860976
CLR_0031;Unknown;3.0834567;45.7711466
CLR_0032;Unknown;3.0872098;45.7778589
CLR_0033;Unknown;3.1005826;45.7794356
CLR_0034;Unknown;3.0865811;45.7709435
CLR_0035;Unknown;3.1075488;45.796845
CLR_0036;Unknown;3.0987774;45.7765475
CLR_0037;Unknown;3.0848147;45.7783156
CLR_0038;Unknown;3.0868002;45.7801977
CLR_0039;Unknown;3.0831877;45.7759982
CLR_0040;Unknown;3.1099757;45.891685
DIJ_0001;Unknown;5.0458361;47.3253951
DIJ_0002;Unknown;5.0427036;47.3224154
DIJ_0003;Unknown;5.0395266;47.3242273
DIJ_0004;Unknown;5.0443248;47.3237479
DIJ_0005;Unknown;5.0433902;47.3208897
DIJ_0006;Unknown;5.0384525;47.3230607
FTBL_0001;Unknown;2.5966989;48.2877491
FTBL_0002;Unknown;2.5966067;48.2839843
FTBL_0003;Unknown;2.6107538;48.3497613
FTBL_0004;Unknown;2.7017476;48.4039238
FTBL_0005;Unknown;2.6016885;48.4463926
FTBL_0006;Unknown;2.5737982;48.2988941
FTBL_0007;Unknown;2.6993597;48.4048123
FTBL_0008;Unknown;2.6970645;48.4027337
FTBL_0009;Unknown;2.4704704;48.4024097
FTBL_0010;Unknown;2.6078985;48.4444524
FTBL_0011;Unknown;2.6930974;48.4747906
FTBL_0012;Unknown;2.7271803;48.4158249
FTBL_0013;Unknown;2.6921136;48.4037376
FRQ_0001;Unknown;5.7810389;43.9600443
FRQ_0002;Unknown;5.7811489;43.9585903
FRQ_0003;Unknown;5.7812474;43.9589821
FRQ_0004;Unknown;5.7805364;43.9597935
GRN_0001;Unknown;5.7240754;45.1927241
GRN_0002;Unknown;5.7277328;45.1923465
GRN_0003;Unknown;5.7275839;45.1926614
GRN_0004;Unknown;5.7312785;45.1928381
GRN_0005;Unknown;5.7302461;45.1905645
GRN_0006;Unknown;5.7262011;45.1865652
GRN_0007;Unknown;5.7288417;45.1900841
GRN_0008;Unknown;5.7221765;45.1895772
GRN_0009;Unknown;5.7225074;45.1888966
GRN_0010;Unknown;5.7221736;45.1844398
GRN_0011;Unknown;5.729875;45.1929439
GRN_0012;Unknown;5.7293482;45.1941354
GRN_0013;Unknown;5.7250618;45.1884779
GRN_0014;Unknown;5.7295284;45.1956917
GRN_0015;Unknown;5.7295104;45.1859382
GRN_0016;Unknown;5.7327252;45.1857639
GRN_0017;Unknown;5.7204282;45.1878829
GRN_0018;Unknown;5.7154396;45.1881823
GRN_0019;Unknown;5.7250223;45.1879691
GRN_0020;Unknown;5.7313636;45.1830913
GRN_0021;Unknown;5.7315626;45.1785138
GRN_0022;Unknown;5.7328672;45.183557
GRN_0023;Unknown;5.717661;45.183893
GRN_0024;Unknown;5.7290864;45.1901812
GRN_0025;Unknown;5.7251573;45.18109
GRN_0026;Unknown;5.7224443;45.1852098
GRN_0027;Unknown;5.7302949;45.1875659
GRN_0028;Unknown;5.7225983;45.1872284
GRN_0029;Unknown;5.7216763;45.1877749
GRN_0030;Unknown;5.7227663;45.1864835
GRN_0031;Unknown;5.7311432;45.1901183
GRN_0032;Unknown;5.7254127;45.1877727
GRN_0033;Unknown;5.7241275;45.188498
GRN_0034;Unknown;5.7248002;45.1862741
GRN_0035;Unknown;5.7331616;45.1603585
GRN_0036;Unknown;5.7296061;45.1904225
GRN_0037;Unknown;5.7198953;45.1923787
GRN_0038;Unknown;5.7201193;45.1926168
GRN_0039;Unknown;5.7146786;45.1914847
GRN_0040;Unknown;5.7157313;45.1883203
GRN_0041;Unknown;5.7046308;45.1880756
GRN_0042;Unknown;5.7285781;45.195
GRN_0043;Unknown;5.7275183;45.1913848
GRN_0044;Unknown;5.7262904;45.188412
GRN_0045;Unknown;5.7280368;45.1914322
GRN_0046;Unknown;5.7155074;45.188278
GRN_0047;Unknown;5.7224666;45.186478
GRN_0048;Unknown;5.7180038;45.1837538
GRN_0049;Unknown;5.718164;45.186286
GRN_0050;Unknown;5.7195184;45.1935809
GRN_0051;Unknown;5.7251996;45.1885387
GRN_0052;Unknown;5.7162697;45.1806275
GRN_0053;Unknown;5.7229545;45.1944306
GRN_0054;Unknown;5.7408969;45.2045272
GRN_0055;Unknown;5.726646;45.1863256
GRN_0056;Unknown;5.7552376;45.1612327
GRN_0057;Unknown;5.7481351;45.1559651
LBR_0001;Unknown;5.5567234;43.8578647
LBR_0002;Unknown;5.1430091;43.868274
LBR_0003;Unknown;5.2404835;43.8886734
LBR_0004;Unknown;5.179585;43.9069568
LBR_0005;Unknown;5.3822614;43.8823816
LBR_0006;Unknown;5.6810171;43.8645189
LBR_0007;Unknown;5.3061568;43.8225652
LBR_0008;Unknown;5.3440738;43.7948347
LDN_0001;Unknown;-0.214142;51.52438
LDN_0004;Unknown;-0.197494;51.511356
LDN_0005;Unknown;-0.13175;51.513991
LDN_0006;Unknown;-0.13278;51.51337
LDN_0007;Unknown;-0.132893;51.515083
LDN_0008;Unknown;-0.125275;51.513748
LDN_0009;Unknown;-0.124288;51.513365
LDN_000?;Unknown;-0.080456;51.526296
LDN_000?;Unknown;-0.134653;51.517847
LDN_000?;Unknown;-0.078101;51.528004
LDN_000?;Unknown;-0.12549;51.51656
LDN_000?;Unknown;-0.083454;51.526821
LDN_000?;Unknown;-0.082065;51.526756
LDN_000?;Unknown;-0.083529;51.526115
LDN_000?;Unknown;-0.077387;51.528751
LDN_0010;Unknown;-0.135197;51.509964
LDN_0011;Unknown;-0.141819;51.508519
LDN_0012;Unknown;-0.143285;51.50932
LDN_0013;Unknown;-0.139899;51.510035
LDN_0014;Unknown;-0.134081;51.510121
LDN_0015;Unknown;-0.136028;51.509621
LDN_0016;Unknown;-0.132877;51.507153
LDN_0020;Unknown;-0.151427;51.517009
LDN_0024;Unknown;-0.071883;51.521603
LDN_0025;Unknown;-0.071787;51.521121
LDN_0027;Unknown;-0.220309;51.5298
LDN_0029;Unknown;-0.13931;51.515451
LDN_0030;Unknown;-0.138386;51.512752
LDN_0031;Unknown;-0.138853;51.513573
LDN_0032;Unknown;-0.137179;51.51324
LDN_0033;Unknown;-0.133027;51.512382
LDN_0034;Unknown;-0.12851;51.513583
LDN_0035;Unknown;-0.124074;51.512912
LDN_0037;Unknown;-0.126531;51.514471
LDN_0038;Unknown;-0.124515;51.514111
LDN_0039;Unknown;-0.124846;51.513757
LDN_0041;Unknown;-0.126273;51.512034
LDN_0043;Unknown;-0.219104;51.52877
LDN_0044;Unknown;-0.128132;51.51189
LDN_0045;Unknown;-0.21532;51.52663
LDN_0048;Unknown;-0.20528;51.5149
LDN_0049;Unknown;-0.187492;51.502425
LDN_0051;Unknown;-0.102026;51.52265
LDN_0052;Unknown;-0.199239;51.514259
LDN_0054;Unknown;-0.132295;51.522243
LDN_0055;Unknown;-0.134247;51.514285
LDN_0056;Unknown;-0.073085;51.521014
LDN_0057;Unknown;-0.071722;51.522496
LDN_0058;Unknown;-0.120013;51.500649
LDN_0059;Unknown;-0.119801;51.502373
LDN_0061;Unknown;-0.131141;51.517523
LDN_0062;Unknown;-0.129111;51.514829
LDN_0063;Unknown;-0.129848;51.515792
LDN_0064;Unknown;-0.131175;51.514542
LDN_0065;Unknown;-0.119736;51.491959
LDN_0066;Unknown;-0.115786;51.501973
LDN_0067;Unknown;-0.13109;51.514655
LDN_0068;Unknown;-0.105176;51.518466
